name,well,plate,date,index,rtdp_fluor,concentration,fold_dilution,replicate,blanked_rtdp_fluor,u_blanked_rtdp_fluor
BLANK,E10,5,1/10/22,230.0,-0.3333333333333333,1.0,1.0,1.0,-0.75,0.863667034175061
BLANK,E10,6,1/10/22,230.0,1.0,1.0,1.0,1.0,0.5833333333333333,0.6423296759355063
BLANK,E11,1,11/23/21,234.0,1.0,1.0,1.0,1.0,0.01388888888888884,0.16666666666666666
BLANK,E11,2,11/23/21,234.0,1.0,1.0,1.0,1.0,0.01388888888888884,0.16666666666666666
BLANK,E11,4,12/7/21,234.0,1.0,1.0,1.0,1.0,0.0,0.0
BLANK,E11,5,1/10/22,234.0,0.0,1.0,1.0,1.0,-0.4166666666666667,0.6423296759355063
BLANK,E11,6,1/10/22,234.0,1.0,1.0,1.0,1.0,0.5833333333333333,0.6423296759355063
BLANK,E12,1,11/23/21,238.0,1.0,1.0,1.0,1.0,0.01388888888888884,0.16666666666666666
BLANK,E12,2,11/23/21,238.0,1.0,1.0,1.0,1.0,0.01388888888888884,0.16666666666666666
BLANK,E12,4,12/7/21,238.0,1.0,1.0,1.0,1.0,0.0,0.0
BLANK,E12,5,1/10/22,238.0,0.0,1.0,1.0,1.0,-0.4166666666666667,0.6423296759355063
BLANK,E12,6,1/10/22,238.0,1.0,1.0,1.0,1.0,0.5833333333333333,0.6423296759355063
BLANK,F10,1,11/23/21,278.0,1.0,1.0,1.0,1.0,0.01388888888888884,0.16666666666666666
BLANK,F10,2,11/23/21,278.0,1.0,1.0,1.0,1.0,0.01388888888888884,0.16666666666666666
BLANK,F10,4,12/7/21,278.0,1.0,1.0,1.0,1.0,0.0,0.0
BLANK,F10,5,1/10/22,278.0,0.0,1.0,1.0,1.0,-0.4166666666666667,0.6423296759355063
BLANK,F10,6,1/10/22,278.0,1.0,1.0,1.0,1.0,0.5833333333333333,0.6423296759355063
BLANK,F11,1,11/23/21,282.0,1.0,1.0,1.0,1.0,0.01388888888888884,0.16666666666666666
BLANK,F11,2,11/23/21,282.0,1.0,1.0,1.0,1.0,0.01388888888888884,0.16666666666666666
BLANK,F11,4,12/7/21,282.0,1.0,1.0,1.0,1.0,0.0,0.0
BLANK,F11,5,1/10/22,282.0,0.0,1.0,1.0,1.0,-0.4166666666666667,0.6423296759355063
BLANK,F11,6,1/10/22,282.0,1.0,1.0,1.0,1.0,0.5833333333333333,0.6423296759355063
BLANK,F12,1,11/23/21,286.0,1.0,1.0,1.0,1.0,0.01388888888888884,0.16666666666666666
BLANK,F12,2,11/23/21,286.0,1.0,1.0,1.0,1.0,0.01388888888888884,0.16666666666666666
BLANK,F12,4,12/7/21,286.0,1.0,1.0,1.0,1.0,0.0,0.0
BLANK,F12,5,1/10/22,286.0,0.0,1.0,1.0,1.0,-0.4166666666666667,0.6423296759355063
BLANK,F12,6,1/10/22,286.0,1.0,1.0,1.0,1.0,0.5833333333333333,0.6423296759355063
BLANK,G10,1,11/23/21,326.0,1.0,1.0,1.0,1.0,0.01388888888888884,0.16666666666666666
BLANK,G10,2,11/23/21,326.0,1.0,1.0,1.0,1.0,0.01388888888888884,0.16666666666666666
BLANK,G10,4,12/7/21,326.0,1.0,1.0,1.0,1.0,0.0,0.0
BLANK,G10,5,1/10/22,326.0,0.0,1.0,1.0,1.0,-0.4166666666666667,0.6423296759355063
BLANK,G10,6,1/10/22,326.0,1.0,1.0,1.0,1.0,0.5833333333333333,0.6423296759355063
BLANK,G11,1,11/23/21,330.0,1.0,1.0,1.0,1.0,0.01388888888888884,0.16666666666666666
BLANK,G11,2,11/23/21,330.0,1.0,1.0,1.0,1.0,0.01388888888888884,0.16666666666666666
BLANK,G11,4,12/7/21,330.0,1.0,1.0,1.0,1.0,0.0,0.0
BLANK,G11,5,1/10/22,330.0,0.0,1.0,1.0,1.0,-0.4166666666666667,0.6423296759355063
BLANK,G11,6,1/10/22,330.0,1.0,1.0,1.0,1.0,0.5833333333333333,0.6423296759355063
BLANK,G12,1,11/23/21,334.0,1.0,1.0,1.0,1.0,0.01388888888888884,0.16666666666666666
BLANK,G12,2,11/23/21,334.0,1.0,1.0,1.0,1.0,0.01388888888888884,0.16666666666666666
BLANK,G12,4,12/7/21,334.0,1.0,1.0,1.0,1.0,0.0,0.0
BLANK,G12,5,1/10/22,334.0,0.0,1.0,1.0,1.0,-0.4166666666666667,0.6423296759355063
BLANK,G12,6,1/10/22,334.0,1.0,1.0,1.0,1.0,0.5833333333333333,0.6423296759355063
BLANK,H10,1,11/23/21,374.0,1.0,1.0,1.0,1.0,0.01388888888888884,0.16666666666666666
BLANK,H10,2,11/23/21,374.0,1.0,1.0,1.0,1.0,0.01388888888888884,0.16666666666666666
BLANK,H10,4,12/7/21,374.0,1.0,1.0,1.0,1.0,0.0,0.0
BLANK,H10,5,1/10/22,374.0,0.0,1.0,1.0,1.0,-0.4166666666666667,0.6423296759355063
BLANK,H10,6,1/10/22,374.0,1.0,1.0,1.0,1.0,0.5833333333333333,0.6423296759355063
BLANK,H11,1,11/23/21,378.0,1.0,1.0,1.0,1.0,0.01388888888888884,0.16666666666666666
BLANK,H11,2,11/23/21,378.0,1.0,1.0,1.0,1.0,0.01388888888888884,0.16666666666666666
BLANK,H11,4,12/7/21,378.0,1.0,1.0,1.0,1.0,0.0,0.0
BLANK,H11,5,1/10/22,378.0,-0.3333333333333333,1.0,1.0,1.0,-0.75,0.863667034175061
BLANK,H11,6,1/10/22,378.0,1.0,1.0,1.0,1.0,0.5833333333333333,0.6423296759355063
BLANK,H12,1,11/23/21,382.0,1.0,1.0,1.0,1.0,0.01388888888888884,0.16666666666666666
BLANK,H12,2,11/23/21,382.0,1.3333333333333333,1.0,1.0,1.0,0.34722222222222215,0.6009252125773317
BLANK,H12,4,12/7/21,382.0,1.0,1.0,1.0,1.0,0.0,0.0
BLANK,H12,5,1/10/22,382.0,0.0,1.0,1.0,1.0,-0.4166666666666667,0.6423296759355063
BLANK,H12,6,1/10/22,382.0,1.0,1.0,1.0,1.0,0.5833333333333333,0.6423296759355063
CHLORAM,A1,4,12/7/21,2.0,1.0,502.45,1.0,1.0,0.0,0.0
CHLORAM,A2,4,12/7/21,6.0,0.6666666666666666,502.45,1.0,2.0,-0.3333333333333333,0.5773502691896258
CHLORAM,A3,4,12/7/21,10.0,1.0,502.45,1.0,3.0,0.0,0.0
CHLORAM,B1,4,12/7/21,50.0,1.0,251.225,2.0,1.0,0.0,0.0
CHLORAM,B2,4,12/7/21,54.0,1.0,251.225,2.0,2.0,0.0,0.0
