,index,time_s,well,rtdp_fluor,concentration,fold_dilution,media,name,replicate,plate,date,blanked_rtdp_fluor,u_blanked_rtdp_fluor
857,89,74.67,B11,0,250.0,2,25 mM HEPES pH 7,4-AMINO-SAL,2,3,12/7/21,-1.0,0.0
858,90,149.363,B11,0,250.0,2,25 mM HEPES pH 7,4-AMINO-SAL,2,3,12/7/21,-1.0,0.0
859,91,224.03,B11,0,250.0,2,25 mM HEPES pH 7,4-AMINO-SAL,2,3,12/7/21,-1.0,0.0
861,93,74.67,B12,0,250.0,2,25 mM HEPES pH 7,4-AMINO-SAL,3,3,12/7/21,-1.0,0.0
862,94,149.363,B12,0,250.0,2,25 mM HEPES pH 7,4-AMINO-SAL,3,3,12/7/21,-1.0,0.0
863,95,224.03,B12,0,250.0,2,25 mM HEPES pH 7,4-AMINO-SAL,3,3,12/7/21,-1.0,0.0
865,97,74.67,C1,0,2500.0,4,25 mM HEPES pH 7,GLUCOSE,1,3,12/7/21,-1.0,0.0
866,98,149.363,C1,0,2500.0,4,25 mM HEPES pH 7,GLUCOSE,1,3,12/7/21,-1.0,0.0
867,99,224.03,C1,0,2500.0,4,25 mM HEPES pH 7,GLUCOSE,1,3,12/7/21,-1.0,0.0
869,101,74.67,C2,0,2500.0,4,25 mM HEPES pH 7,GLUCOSE,2,3,12/7/21,-1.0,0.0
870,102,149.363,C2,0,2500.0,4,25 mM HEPES pH 7,GLUCOSE,2,3,12/7/21,-1.0,0.0
871,103,224.03,C2,0,2500.0,4,25 mM HEPES pH 7,GLUCOSE,2,3,12/7/21,-1.0,0.0
873,105,74.67,C3,0,2500.0,4,25 mM HEPES pH 7,GLUCOSE,3,3,12/7/21,-1.0,0.0
874,106,149.363,C3,0,2500.0,4,25 mM HEPES pH 7,GLUCOSE,3,3,12/7/21,-1.0,0.0
875,107,224.03,C3,0,2500.0,4,25 mM HEPES pH 7,GLUCOSE,3,3,12/7/21,-1.0,0.0
877,109,74.67,C4,0,2500.0,4,25 mM HEPES pH 7,ACETATE,1,3,12/7/21,-1.0,0.0
878,110,149.363,C4,0,2500.0,4,25 mM HEPES pH 7,ACETATE,1,3,12/7/21,-1.0,0.0
879,111,224.03,C4,0,2500.0,4,25 mM HEPES pH 7,ACETATE,1,3,12/7/21,-1.0,0.0
881,113,74.67,C5,0,2500.0,4,25 mM HEPES pH 7,ACETATE,2,3,12/7/21,-1.0,0.0
882,114,149.363,C5,0,2500.0,4,25 mM HEPES pH 7,ACETATE,2,3,12/7/21,-1.0,0.0
883,115,224.03,C5,0,2500.0,4,25 mM HEPES pH 7,ACETATE,2,3,12/7/21,-1.0,0.0
885,117,74.67,C6,0,2500.0,4,25 mM HEPES pH 7,ACETATE,3,3,12/7/21,-1.0,0.0
886,118,149.363,C6,0,2500.0,4,25 mM HEPES pH 7,ACETATE,3,3,12/7/21,-1.0,0.0
887,119,224.03,C6,0,2500.0,4,25 mM HEPES pH 7,ACETATE,3,3,12/7/21,-1.0,0.0
889,121,74.67,C7,0,125.0,4,25 mM HEPES pH 7,GLUTAMATE,1,3,12/7/21,-1.0,0.0
890,122,149.363,C7,0,125.0,4,25 mM HEPES pH 7,GLUTAMATE,1,3,12/7/21,-1.0,0.0
891,123,224.03,C7,0,125.0,4,25 mM HEPES pH 7,GLUTAMATE,1,3,12/7/21,-1.0,0.0
