,time_s,well,pt_fluor,concentration,fold_dilution,media,name,replicate,plate,date,blanked_pt_fluor,expected_blanked_pt_fluor,estimated_true_pt_fluor,F0_F_ratio,F_F0_ratio,u_blanked_pt_fluor,u_expected_blanked_pt_fluor,u_estimated_true_pt_fluor,u_F0_F_ratio,u_F_F0_ratio
30,280.07,A8,6820,450.4504505,1,25 mM HEPES pH 7,AQDS,2,1,9/29/22,6755.715277777777,7160.035160160161,6689.305117617617,1.060442732880808,0.9430023602343818,4.018598709330847,267.3546406065672,0.3982395117354893,0.03996386111321907,0.03553800142650463
31,420.097,A8,6865,450.4504505,1,25 mM HEPES pH 7,AQDS,2,1,9/29/22,6800.715277777777,7158.233358358359,6736.106919419419,1.0530748821028801,0.9496000873205757,4.018598709330847,267.3546406065672,0.3982395117354893,0.039686195489955424,0.03578664285243238
33,140.025,A9,6842,450.4504505,1,25 mM HEPES pH 7,AQDS,3,1,9/29/22,6777.715277777777,7162.737862862863,6708.602414914914,1.0573923689722742,0.9457227320185257,4.018598709330847,267.3546406065672,0.3982395117354893,0.0398489047664853,0.035640521143854305
34,280.07,A9,6729,450.4504505,1,25 mM HEPES pH 7,AQDS,3,1,9/29/22,6664.715277777777,7162.737862862863,6595.602414914914,1.075508278661383,0.9297929358987703,4.018598709330847,267.3546406065672,0.3982395117354893,0.04053162295003113,0.03504019210931302
35,420.097,A9,6818,450.4504505,1,25 mM HEPES pH 7,AQDS,3,1,9/29/22,6753.715277777777,7160.936061061061,6686.404216716716,1.0609028066632868,0.9425934154563733,4.018598709330847,267.3546406065672,0.3982395117354893,0.039981199504146345,0.03552258996579023
37,140.025,A10,6802,1.0,1,25 mM HEPES pH 7,O2NS,1,1,9/29/22,6737.715277777777,7092.467592592592,6738.872685185185,1.0526426794788253,0.9499899818760063,4.018598709330847,267.3546406065672,0.3982395117354893,0.03966990745545079,0.03580133638822748
38,280.07,A10,6690,1.0,1,25 mM HEPES pH 7,O2NS,1,1,9/29/22,6625.715277777777,7089.76488988989,6629.575387887888,1.0699968829014181,0.9345821618548891,4.018598709330847,267.3546406065672,0.3982395117354893,0.04032391986831071,0.03522067849655713
39,420.097,A10,6713,1.0,1,25 mM HEPES pH 7,O2NS,1,1,9/29/22,6648.715277777777,7088.863988988989,6653.476288788788,1.0661531945267273,0.9379515112215248,4.018598709330847,267.3546406065672,0.3982395117354893,0.04017906619988421,0.035347655529353976
41,140.025,A11,6956,1.0,1,25 mM HEPES pH 7,O2NS,1,1,9/29/22,6891.715277777777,7087.963088088088,6897.37718968969,1.0284525269407718,0.9723346229452063,4.018598709330847,267.3546406065672,0.3982395117354893,0.03875827484716739,0.03664341481237617
42,280.07,A11,6950,1.0,1,25 mM HEPES pH 7,O2NS,1,1,9/29/22,6885.715277777777,7088.863988988989,6890.476288788788,1.029482535415113,0.9713617915788878,4.018598709330847,267.3546406065672,0.3982395117354893,0.03879709185071797,0.03660675276338528
43,420.097,A11,6935,1.0,1,25 mM HEPES pH 7,O2NS,1,1,9/29/22,6870.715277777777,7089.76488988989,6874.575387887888,1.0318637297218458,0.969120215388872,4.018598709330847,267.3546406065672,0.3982395117354893,0.038886829781271545,0.03652227689365058
45,140.025,A12,6760,1.0,1,25 mM HEPES pH 7,O2NS,1,1,9/29/22,6695.715277777777,7089.76488988989,6699.575387887888,1.0588171024725703,0.9444501771503128,4.018598709330847,267.3546406065672,0.3982395117354893,0.03990259742815974,0.035592563740969016
46,280.07,A12,6672,1.0,1,25 mM HEPES pH 7,O2NS,1,1,9/29/22,6607.715277777777,7089.76488988989,6611.575387887888,1.0729099471504486,0.9320446722074944,4.018598709330847,267.3546406065672,0.3982395117354893,0.04043370193487071,0.035125050863879806
47,420.097,A12,6678,1.0,1,25 mM HEPES pH 7,O2NS,1,1,9/29/22,6613.715277777777,7087.062187187187,6620.27809059059,1.071499550763914,0.93327150654152,4.018598709330847,267.3546406065672,0.3982395117354893,0.04038054957791055,0.035171285244761215
49,140.025,B1,3274,226.3513514,2,25 mM HEPES pH 7,PYO,1,1,9/29/22,3209.715277777778,7425.800925925926,2877.5393518518517,2.465170457333579,0.40565146196082424,4.018598709330847,267.3546406065672,0.3982395117354893,0.09290296222708279,0.015287471231774454
50,280.07,B1,3219,226.3513514,2,25 mM HEPES pH 7,PYO,1,1,9/29/22,3154.715277777778,7421.296421421422,2827.0438563563566,2.509202318899516,0.39853302879083075,4.018598709330847,267.3546406065672,0.3982395117354893,0.09456237973847223,0.015019208025987486
51,420.097,B1,3225,226.3513514,2,25 mM HEPES pH 7,PYO,1,1,9/29/22,3160.715277777778,7423.999124124124,2830.3411536536537,2.5062791426549142,0.39899785422173484,4.018598709330847,267.3546406065672,0.3982395117354893,0.09445221470497625,0.015036725300221307
53,140.025,B2,3805,226.3513514,2,25 mM HEPES pH 7,PYO,2,1,9/29/22,3740.715277777778,7533.008133133133,3301.332144644645,2.1487159392632265,0.4653942299803901,4.018598709330847,267.3546406065672,0.3982395117354893,0.0809768556755071,0.017538922062568227
54,280.07,B2,3744,226.3513514,2,25 mM HEPES pH 7,PYO,2,1,9/29/22,3679.715277777778,7529.404529529529,3243.9357482482483,2.1867341249994285,0.45730296544407806,4.018598709330847,267.3546406065672,0.3982395117354893,0.08240963023073024,0.017233996513258205
55,420.097,B2,3742,226.3513514,2,25 mM HEPES pH 7,PYO,2,1,9/29/22,3677.715277777778,7522.197322322322,3249.1429554554556,2.183229576922581,0.4580370340207518,4.018598709330847,267.3546406065672,0.3982395117354893,0.08227755584400465,0.017261660451845844
57,140.025,B3,3599,226.3513514,2,25 mM HEPES pH 7,PYO,3,1,9/29/22,3534.715277777778,7527.602727727728,3100.7375500500502,2.287721835692124,0.43711607958555043,4.018598709330847,267.3546406065672,0.3982395117354893,0.08621551331738442,0.016473238394977056
58,280.07,B3,3568,226.3513514,2,25 mM HEPES pH 7,PYO,3,1,9/29/22,3503.715277777778,7515.891016016016,3081.4492617617616,2.3020417983271777,0.4343969778162451,4.018598709330847,267.3546406065672,0.3982395117354893,0.08675518443648984,0.01637076701061098
59,420.097,B3,3548,226.3513514,2,25 mM HEPES pH 7,PYO,3,1,9/29/22,3483.715277777778,7503.278403403403,3074.0618743743744,2.3075739168209415,0.4333555656486457,4.018598709330847,267.3546406065672,0.3982395117354893,0.08696367136541733,0.016331520615973254
61,140.025,B4,10231,225.2252252,2,25 mM HEPES pH 7,PMS,1,1,9/29/22,10166.715277777777,14443.818943943945,2816.5213338338335,2.518576697711072,0.3970496514594207,4.018598709330847,267.3546406065672,0.3982395117354893,0.09491566971332462,0.01496330590684928
62,280.07,B4,10056,225.2252252,2,25 mM HEPES pH 7,PMS,1,1,9/29/22,9991.715277777777,14425.800925925927,2659.5393518518513,2.667238217423131,0.37491964289793317,4.018598709330847,267.3546406065672,0.3982395117354893,0.10051824845302607,0.014129321321416755
63,420.097,B4,9925,225.2252252,2,25 mM HEPES pH 7,PMS,1,1,9/29/22,9860.715277777777,14358.233358358357,2596.1069194194197,2.7324086488650408,0.3659774684198022,4.018598709330847,267.3546406065672,0.3982395117354893,0.10297431886251329,0.013792329542365426
