,time_s,well,pt_fluor,concentration,fold_dilution,media,name,replicate,plate,date,blanked_pt_fluor,u_blanked_pt_fluor
85,140.037,B10,61,1.0,1,25 mM HEPES pH 7,BLANK,1,1,9/29/22,-3.2847222222222285,4.018598709330847
86,280.06,B10,62,1.0,1,25 mM HEPES pH 7,BLANK,1,1,9/29/22,-2.2847222222222285,4.018598709330847
87,420.092,B10,59,1.0,1,25 mM HEPES pH 7,BLANK,1,1,9/29/22,-5.2847222222222285,4.018598709330847
89,140.037,B11,59,1.0,1,25 mM HEPES pH 7,BLANK,1,1,9/29/22,-5.2847222222222285,4.018598709330847
90,280.06,B11,59,1.0,1,25 mM HEPES pH 7,BLANK,1,1,9/29/22,-5.2847222222222285,4.018598709330847
91,420.092,B11,56,1.0,1,25 mM HEPES pH 7,BLANK,1,1,9/29/22,-8.284722222222229,4.018598709330847
93,140.037,B12,61,1.0,1,25 mM HEPES pH 7,BLANK,1,1,9/29/22,-3.2847222222222285,4.018598709330847
94,280.06,B12,60,1.0,1,25 mM HEPES pH 7,BLANK,1,1,9/29/22,-4.2847222222222285,4.018598709330847
95,420.092,B12,60,1.0,1,25 mM HEPES pH 7,BLANK,1,1,9/29/22,-4.2847222222222285,4.018598709330847
97,140.037,C1,329,125.625,4,25 mM HEPES pH 7,PYO,1,1,9/29/22,264.71527777777777,4.018598709330847
98,280.06,C1,320,125.625,4,25 mM HEPES pH 7,PYO,1,1,9/29/22,255.71527777777777,4.018598709330847
99,420.092,C1,323,125.625,4,25 mM HEPES pH 7,PYO,1,1,9/29/22,258.71527777777777,4.018598709330847
101,140.037,C2,397,125.625,4,25 mM HEPES pH 7,PYO,2,1,9/29/22,332.71527777777777,4.018598709330847
102,280.06,C2,392,125.625,4,25 mM HEPES pH 7,PYO,2,1,9/29/22,327.71527777777777,4.018598709330847
103,420.092,C2,393,125.625,4,25 mM HEPES pH 7,PYO,2,1,9/29/22,328.71527777777777,4.018598709330847
105,140.037,C3,381,125.625,4,25 mM HEPES pH 7,PYO,3,1,9/29/22,316.71527777777777,4.018598709330847
106,280.06,C3,370,125.625,4,25 mM HEPES pH 7,PYO,3,1,9/29/22,305.71527777777777,4.018598709330847
107,420.092,C3,370,125.625,4,25 mM HEPES pH 7,PYO,3,1,9/29/22,305.71527777777777,4.018598709330847
109,140.037,C4,4319,125.0,4,25 mM HEPES pH 7,PMS,1,1,9/29/22,4254.715277777777,4.018598709330847
110,280.06,C4,4308,125.0,4,25 mM HEPES pH 7,PMS,1,1,9/29/22,4243.715277777777,4.018598709330847
111,420.092,C4,4306,125.0,4,25 mM HEPES pH 7,PMS,1,1,9/29/22,4241.715277777777,4.018598709330847
113,140.037,C5,4700,125.0,4,25 mM HEPES pH 7,PMS,2,1,9/29/22,4635.715277777777,4.018598709330847
114,280.06,C5,4697,125.0,4,25 mM HEPES pH 7,PMS,2,1,9/29/22,4632.715277777777,4.018598709330847
115,420.092,C5,4647,125.0,4,25 mM HEPES pH 7,PMS,2,1,9/29/22,4582.715277777777,4.018598709330847
117,140.037,C6,4096,125.0,4,25 mM HEPES pH 7,PMS,3,1,9/29/22,4031.715277777778,4.018598709330847
118,280.06,C6,4046,125.0,4,25 mM HEPES pH 7,PMS,3,1,9/29/22,3981.715277777778,4.018598709330847
119,420.092,C6,4071,125.0,4,25 mM HEPES pH 7,PMS,3,1,9/29/22,4006.715277777778,4.018598709330847
