name,well,plate,date,rtdp_fluor,concentration,fold_dilution,replicate,blanked_rtdp_fluor,u_blanked_rtdp_fluor
CS,B1,2,5/27/22,59.25,1.0,1.0,1.0,58.182291666666664,1.2832722781877186
CS,B2,2,5/27/22,34.5,0.5,2.0,1.0,33.432291666666664,0.6299108984333378
CS,B3,2,5/27/22,15.0,0.25,4.0,1.0,13.932291666666666,0.25190158124109224
CS,B4,2,5/27/22,10.5,0.125,8.0,1.0,9.432291666666666,0.6299108984333387
CS,C1,2,5/27/22,54.5,1.0,1.0,2.0,53.432291666666664,1.0312392577049039
CS,C2,2,5/27/22,35.75,0.5,2.0,2.0,34.682291666666664,0.5598699908298025
CS,C3,2,5/27/22,15.5,0.25,4.0,2.0,14.432291666666666,0.6299108984333385
CS,C4,2,5/27/22,11.0,0.125,8.0,2.0,9.932291666666666,0.25190158124109224
CS,D1,2,5/27/22,58.5,1.0,1.0,2.0,57.432291666666664,1.0312392577049039
CS,D2,2,5/27/22,34.5,0.5,2.0,2.0,33.432291666666664,1.0312392577049039
CS,D3,2,5/27/22,17.25,0.25,4.0,2.0,16.182291666666668,0.5598699908298029
CS,D4,2,5/27/22,11.0,0.125,8.0,2.0,9.932291666666666,0.25190158124109224
EC WT,E1,1,5/27/22,31.0,1.0,1.0,1.0,29.932291666666668,0.25190158124109224
EC WT,E2,1,5/27/22,19.75,0.5,2.0,1.0,18.682291666666668,0.5598699908298017
EC WT,E3,1,5/27/22,10.75,0.25,4.0,1.0,9.682291666666666,0.5598699908298022
EC WT,E4,1,5/27/22,6.0,0.125,8.0,1.0,4.932291666666667,0.25190158124109224
EC WT,F1,1,5/27/22,33.75,1.0,1.0,1.0,32.682291666666664,0.559869990829802
EC WT,F2,1,5/27/22,19.75,0.5,2.0,1.0,18.682291666666668,0.5598699908298017
EC WT,F3,1,5/27/22,10.5,0.25,4.0,1.0,9.432291666666666,0.6299108984333387
EC WT,F4,1,5/27/22,6.5,0.125,8.0,1.0,5.432291666666667,0.6299108984333387
EC WT,G1,1,5/27/22,31.75,1.0,1.0,2.0,30.682291666666668,0.5598699908298017
EC WT,G2,1,5/27/22,19.0,0.5,2.0,2.0,17.932291666666668,0.8544712243829099
EC WT,G3,1,5/27/22,11.0,0.25,4.0,2.0,9.932291666666666,0.25190158124109224
EC WT,G4,1,5/27/22,6.0,0.125,8.0,2.0,4.932291666666667,0.25190158124109224
EC WT,H1,1,5/27/22,31.25,1.0,1.0,2.0,30.182291666666668,0.5598699908298023
EC WT,H2,1,5/27/22,18.75,0.5,2.0,2.0,17.682291666666668,0.5598699908298017
EC WT,H3,1,5/27/22,11.0,0.25,4.0,2.0,9.932291666666666,0.25190158124109224
EC WT,H4,1,5/27/22,6.5,0.125,8.0,2.0,5.432291666666667,0.6299108984333387
MM4,E1,2,5/27/22,1.0,1.0,1.0,1.0,-0.06770833333333326,0.25190158124109224
MM4,E2,2,5/27/22,1.25,0.5,2.0,1.0,0.18229166666666674,0.559869990829802
MM4,E3,2,5/27/22,1.0,0.25,4.0,1.0,-0.06770833333333326,0.25190158124109224
MM4,E4,2,5/27/22,1.0,0.125,8.0,1.0,-0.06770833333333326,0.25190158124109224
MM4,F1,2,5/27/22,1.0,1.0,1.0,1.0,-0.06770833333333326,0.25190158124109224
MM4,F2,2,5/27/22,1.5,0.5,2.0,1.0,0.43229166666666674,0.6299108984333387
MM4,F3,2,5/27/22,1.0,0.25,4.0,1.0,-0.06770833333333326,0.25190158124109224
