name,well,plate,date,rtdp_fluor,concentration,fold_dilution,replicate,blanked_rtdp_fluor,expected_blanked_rtdp_fluor,estimated_true_rtdp_fluor,F0_F_ratio,F_F0_ratio,u_blanked_rtdp_fluor,u_expected_blanked_rtdp_fluor,u_estimated_true_rtdp_fluor,u_F0_F_ratio,u_F_F0_ratio
AGG,D6,2,5/27/22,2981.5,0.45045045,2.0,2.0,2980.4322916666665,4042.7398179429433,2972.3851820570567,1.357392283035505,0.7367067077792155,68.83117114413564,161.84823714338478,68.83071472699525,0.0628719619160422,0.034122925740529005
AGG,D7,2,5/27/22,2958.25,0.225225225,4.0,2.0,2957.1822916666665,4038.2353134384384,2953.6396865615616,1.3660070748271482,0.7320606301592824,19.552837502690757,161.84823714338478,19.55123073267612,0.05553717239801839,0.02976307968837032
AGG,D8,2,5/27/22,3302.25,0.112612613,8.0,2.0,3301.1822916666665,4037.1091873123128,3298.7658126876872,1.2230915855909292,0.8176002613220956,7.679851630943037,161.84886398127614,7.2362586106744935,0.04913652645028119,0.03284630304017677
BG,E5,1,5/27/22,2967.0,0.900900901,1.0,1.0,2965.9322916666665,4044.541619744745,2956.083380255255,1.364877843190249,0.7326663004966159,35.3279415534875,161.84823714338478,35.32705228521533,0.05712888155210857,0.030666778354653403
BG,E6,1,5/27/22,3316.75,0.45045045,2.0,1.0,3315.6822916666665,4040.7127909159162,3309.6622090840838,1.219064802824665,0.8203009369829436,33.47108385467414,161.84886398127614,33.850094595821055,0.05046613554736186,0.033958340999992974
BG,E7,1,5/27/22,3497.5,0.225225225,4.0,1.0,3496.4322916666665,4038.2353134384384,3492.8896865615616,1.1551159842969816,0.8657139314097648,20.858174762107872,161.84823714338478,20.856668553782576,0.04684698471594813,0.03510996979045319
BG,E8,1,5/27/22,3386.25,0.112612613,8.0,1.0,3385.1822916666665,4036.433511636637,3383.441488363363,1.1924818922419118,0.838587157176837,15.630529562578282,161.84823714338478,15.628519544804709,0.04815143104509179,0.033861454783339
BG,F5,1,5/27/22,2261.25,0.900900901,1.0,1.0,2260.1822916666665,4045.442520645646,2249.432479354354,1.7936491738980294,0.5575226273634997,20.64735950204364,161.84823714338478,20.645837913786423,0.0738099468912595,0.022942455032577524
BG,F6,1,5/27/22,3642.75,0.45045045,2.0,1.0,3641.6822916666665,4041.388466591592,3634.986533408408,1.1099608406389705,0.9009326846380731,39.903802505608844,161.84907292670044,40.269719307471505,0.04619186402047904,0.03749299843447637
BG,F7,1,5/27/22,3311.5,0.225225225,4.0,1.0,3310.4322916666665,4037.784862987988,3307.340137012012,1.2199207040067073,0.8197254106070995,18.701072725202113,161.84907292670044,19.150839340793933,0.04944322261345923,0.033223361014728094
BG,F8,1,5/27/22,3415.25,0.112612613,8.0,1.0,3414.1822916666665,4036.433511636637,3412.441488363363,1.1823478064288826,0.8457748173275351,31.690904916184213,161.84823714338478,31.68991358717057,0.04868318816943419,0.034824790435640615
