,index,time_s,well,rtdp_fluor,concentration,fold_dilution,media,name,replicate,plate,date,blanked_rtdp_fluor,expected_blanked_rtdp_fluor,estimated_true_rtdp_fluor,F0_F_ratio,F_F0_ratio,u_blanked_rtdp_fluor,u_expected_blanked_rtdp_fluor,u_estimated_true_rtdp_fluor,u_F0_F_ratio,u_F_F0_ratio
481,97,74.679,C1,3872,0.99009901,1,MM noC,EC WT,2,2,12/3/21,3870.9861111111113,4202.443943943945,3836.7643893893896,1.0863899367262382,0.9204798076585942,0.11785113019775789,154.17683485385902,0.011678940830408439,0.040184067399380845,0.03404728024468337
482,98,149.363,C1,3784,0.99009901,1,MM noC,EC WT,2,2,12/3/21,3782.9861111111113,4201.543043043043,3749.6652902902906,1.111625145053821,0.8995838250416541,0.11785113019775789,154.17683485385902,0.011678940830408439,0.04111748300376086,0.03327436663446249
483,99,224.042,C1,3779,0.99009901,1,MM noC,EC WT,2,2,12/3/21,3777.9861111111113,4202.443943943945,3743.7643893893896,1.113377282511644,0.8981681373488432,0.11785113019775789,154.17683485385902,0.011678940830408439,0.041182292155456365,0.03322200229699341
485,101,74.679,C2,3885,0.495049505,2,MM noC,EC WT,2,2,12/3/21,3883.9861111111113,4186.227727727728,3865.980605605606,1.0781798067425303,0.9274890827544503,0.11785113019775789,154.17683485385902,0.011678940830408439,0.03988038599763091,0.03430654367436972
486,102,149.363,C2,3880,0.495049505,2,MM noC,EC WT,2,2,12/3/21,3878.9861111111113,4186.227727727728,3860.980605605606,1.07957605800209,0.9262895305872594,0.11785113019775789,154.17683485385902,0.011678940830408439,0.039932031408910974,0.034262173892230054
487,103,224.042,C2,3839,0.495049505,2,MM noC,EC WT,2,2,12/3/21,3837.9861111111113,4186.227727727728,3819.980605605606,1.091163189704574,0.9164532028162939,0.11785113019775789,154.17683485385902,0.011678940830408439,0.04036062345372107,0.033898341678699366
489,105,74.679,C3,3594,0.247524752,4,MM noC,EC WT,2,2,12/3/21,3592.9861111111113,4175.416916916917,3585.7914164164167,1.1624274081139605,0.8602687729313789,0.11785113019775789,154.17683485385902,0.011678940830408439,0.04299658875542944,0.031820157018563826
490,106,149.363,C3,3571,0.247524752,4,MM noC,EC WT,2,2,12/3/21,3569.9861111111113,4175.416916916917,3562.7914164164167,1.1699315887582242,0.8547508329623007,0.11785113019775789,154.17683485385902,0.011678940830408439,0.043274158063742074,0.03161605602083609
491,107,224.042,C3,3542,0.247524752,4,MM noC,EC WT,2,2,12/3/21,3540.9861111111113,4176.317817817819,3532.8905155155157,1.1798333981527305,0.8475772948669733,0.11785113019775789,154.17683485385902,0.011678940830408439,0.043640412357908054,0.031350716729250216
493,109,74.679,C4,3467,0.123762376,8,MM noC,EC WT,2,2,12/3/21,3465.9861111111113,4171.813313313313,3462.39502002002,1.2038551921779628,0.8306646899872095,0.11785113019775789,154.17683485385902,0.011678940830408439,0.04452894543987551,0.030725142774317687
494,110,149.363,C4,3488,0.123762376,8,MM noC,EC WT,2,2,12/3/21,3486.9861111111113,4171.813313313313,3483.39502002002,1.1965976291136418,0.8357028090894114,0.11785113019775789,154.17683485385902,0.011678940830408439,0.044260498176051204,0.030911495859156448
495,111,224.042,C4,3483,0.123762376,8,MM noC,EC WT,2,2,12/3/21,3481.9861111111113,4171.813313313313,3478.39502002002,1.1983176718664437,0.8345032569222205,0.11785113019775789,154.17683485385902,0.011678940830408439,0.04432412018891308,0.030867126077051135
497,113,74.679,C5,3859,0.061881188,16,MM noC,EC WT,2,2,12/3/21,3857.9861111111113,4170.011511511512,3856.196821821822,1.0809153201503308,0.9251418509462173,0.11785113019775789,154.17683485385902,0.011678940830408439,0.03998156887144567,0.03421972280337245
498,114,149.363,C5,3883,0.061881188,16,MM noC,EC WT,2,2,12/3/21,3881.9861111111113,4170.912412412413,3879.295920920921,1.0744790568162461,0.9306835658231137,0.11785113019775789,154.17683485385902,0.011678940830408439,0.039743500354255515,0.0344247032023039
499,115,224.042,C5,3917,0.061881188,16,MM noC,EC WT,2,2,12/3/21,3915.9861111111113,4170.011511511512,3914.196821821822,1.0648984739306409,0.9390566560856319,0.11785113019775789,154.17683485385902,0.011678940830408439,0.03938912778702738,0.03473441227621171
501,117,74.679,C6,4182,0.030940594,32,MM noC,EC WT,2,2,12/3/21,4180.986111111111,4169.110610610611,4180.097722722723,0.9971590375899716,1.0028490564723704,0.11785113019775789,154.17683485385902,0.011678940830408439,0.03688353932455556,0.03709400528564603
502,118,149.363,C6,4247,0.030940594,32,MM noC,EC WT,2,2,12/3/21,4245.986111111111,4169.110610610611,4245.097722722723,0.9818907583472085,1.0184432346458523,0.11785113019775789,154.17683485385902,0.011678940830408439,0.036318786702577155,0.037670812453767716
503,119,224.042,C6,4290,0.030940594,32,MM noC,EC WT,2,2,12/3/21,4288.986111111111,4169.110610610611,4288.097722722723,0.9720445968697781,1.028759383283694,0.11785113019775789,154.17683485385902,0.011678940830408439,0.035954590749568575,0.03805239258039828
