name,well,plate,date,index,rtdp_fluor,concentration,fold_dilution,replicate,blanked_rtdp_fluor,expected_blanked_rtdp_fluor,estimated_true_rtdp_fluor,F0_F_ratio,F_F0_ratio,u_blanked_rtdp_fluor,u_expected_blanked_rtdp_fluor,u_estimated_true_rtdp_fluor,u_F0_F_ratio,u_F_F0_ratio
EC WT,C2,2,12/3/21,102.0,3868.0,0.49504950500000006,2.0,2.0,3866.9861111111113,4186.227727727728,3848.980605605606,1.0829418615806163,0.9234106053860012,25.23913407565499,154.17683485385902,25.238861630383788,0.04068109952780897,0.03468825065817793
EC WT,C3,2,12/3/21,106.0,3569.0,0.247524752,4.0,2.0,3567.9861111111113,4175.717217217218,3560.4911161161162,1.1706874378524041,0.8541989669202176,26.057894943546167,154.1777122231524,26.525365247872905,0.04417169027075316,0.03223013331860337
EC WT,C4,2,12/3/21,110.0,3479.3333333333335,0.123762376,8.0,2.0,3478.319444444445,4171.813313313313,3474.7283533533537,1.1995821826473425,0.8336235853329471,10.970288155842663,154.17683485385902,10.969661331645195,0.0445322123675882,0.030946693835307376
EC WT,C5,2,12/3/21,114.0,3886.3333333333335,0.061881188,16.0,2.0,3885.319444444445,4170.311811811812,3883.229854854855,1.07339054807973,0.9316273576183209,29.143562277494812,154.1777122231524,29.19943515798008,0.0405153262731274,0.03516444823033243
EC WT,C6,2,12/3/21,118.0,4239.666666666667,0.030940594,32.0,2.0,4238.652777777778,4169.110610610611,4237.76438938939,0.9835898929772291,1.0166838914673058,54.37230197648625,154.17683485385902,54.37217551037461,0.03850823064010529,0.039803883773345324
EC WT,D1,2,12/3/21,146.0,3883.3333333333335,0.9900990100000001,1.0,2.0,3882.319444444445,4203.945445445445,3846.5962212212216,1.0836131432840879,0.9228385666948603,42.099254414089415,154.1777122231524,42.566927888695886,0.041836693781277204,0.035629426205883274
EC WT,D2,2,12/3/21,150.0,3818.3333333333335,0.49504950500000006,2.0,2.0,3817.319444444445,4185.927427427428,3799.6142392392394,1.0970119490490136,0.9115670990337781,5.034602488997798,154.1777122231524,5.45968998627911,0.04060756685516896,0.03374304350018772
EC WT,D3,2,12/3/21,154.0,3765.0,0.247524752,4.0,2.0,3763.9861111111113,4177.218718718719,3754.9896146146148,1.1100489348890035,0.9008611859980682,26.153659187365903,154.17683485385902,26.15339626889133,0.04178075884615941,0.03390721145983895
EC WT,D4,2,12/3/21,158.0,3430.0,0.123762376,8.0,2.0,3428.9861111111113,4171.813313313313,3425.39502002002,1.2168588433919838,0.8217880039499967,61.212857218797495,154.17683485385902,61.21274488533952,0.0499876498147831,0.033758435653008005
EC WT,D5,2,12/3/21,162.0,4159.333333333333,0.061881188,16.0,2.0,4158.319444444444,4170.912412412413,4155.629254254254,1.0030303396182603,0.9969788155965316,27.061914607474264,154.17683485385902,27.061660513187267,0.037671300873263425,0.03744402082682825
