name,well,plate,date,index,rtdp_fluor,concentration,fold_dilution,replicate,blanked_rtdp_fluor,u_blanked_rtdp_fluor
EC WT,C5,2,12/3/21,114.0,3.3333333333333335,0.0625,16.0,2.0,2.3194444444444446,0.5892556509887897
EC WT,C6,2,12/3/21,118.0,2.0,0.03125,32.0,2.0,0.9861111111111112,0.11785113019775789
EC WT,D1,2,12/3/21,146.0,40.666666666666664,1.0,1.0,2.0,39.65277777777778,0.5892556509887901
EC WT,D2,2,12/3/21,150.0,20.666666666666668,0.5,2.0,2.0,19.652777777777775,0.5892556509887894
EC WT,D3,2,12/3/21,154.0,11.0,0.25,4.0,2.0,9.98611111111111,0.11785113019775789
EC WT,D4,2,12/3/21,158.0,5.0,0.125,8.0,2.0,3.986111111111111,0.11785113019775789
EC WT,D5,2,12/3/21,162.0,4.0,0.0625,16.0,2.0,2.986111111111111,0.11785113019775789
EC WT,D6,2,12/3/21,166.0,2.3333333333333335,0.03125,32.0,2.0,1.3194444444444444,0.5892556509887896
PA14 WT,A1,1,12/3/21,2.0,57.0,1.0,1.0,1.0,55.986111111111114,0.11785113019775789
PA14 WT,A2,1,12/3/21,6.0,31.0,0.5,2.0,1.0,29.98611111111111,0.11785113019775789
PA14 WT,A3,1,12/3/21,10.0,20.333333333333332,0.25,4.0,1.0,19.319444444444443,0.5892556509887894
PA14 WT,A4,1,12/3/21,14.0,10.666666666666666,0.125,8.0,1.0,9.652777777777777,0.5892556509887897
PA14 WT,A5,1,12/3/21,18.0,6.666666666666667,0.0625,16.0,1.0,5.652777777777778,0.5892556509887896
PA14 WT,A6,1,12/3/21,22.0,4.0,0.03125,32.0,1.0,2.986111111111111,0.11785113019775789
PA14 WT,B1,1,12/3/21,50.0,68.33333333333333,1.0,1.0,1.0,67.31944444444444,0.5892556509887886
PA14 WT,B2,1,12/3/21,54.0,34.666666666666664,0.5,2.0,1.0,33.65277777777778,0.5892556509887901
PA14 WT,B3,1,12/3/21,58.0,20.0,0.25,4.0,1.0,18.98611111111111,0.11785113019775789
PA14 WT,B4,1,12/3/21,62.0,12.0,0.125,8.0,1.0,10.986111111111109,0.11785113019775789
PA14 WT,B5,1,12/3/21,66.0,6.666666666666667,0.0625,16.0,1.0,5.652777777777778,0.5892556509887897
PA14 WT,B6,1,12/3/21,70.0,4.0,0.03125,32.0,1.0,2.986111111111111,0.11785113019775789
PA14 WT,C1,1,12/3/21,98.0,62.333333333333336,1.0,1.0,2.0,61.31944444444445,0.5892556509887901
PA14 WT,C2,1,12/3/21,102.0,35.0,0.5,2.0,2.0,33.986111111111114,0.11785113019775789
PA14 WT,C3,1,12/3/21,106.0,22.0,0.25,4.0,2.0,20.98611111111111,0.11785113019775789
PA14 WT,C4,1,12/3/21,110.0,12.0,0.125,8.0,2.0,10.986111111111109,0.11785113019775789
PA14 WT,C5,1,12/3/21,114.0,7.0,0.0625,16.0,2.0,5.986111111111111,0.11785113019775789
PA14 WT,C6,1,12/3/21,118.0,4.0,0.03125,32.0,2.0,2.986111111111111,0.11785113019775789
PA14 WT,D1,1,12/3/21,146.0,71.0,1.0,1.0,2.0,69.98611111111111,0.11785113019775789
