,index,time_s,well,rtdp_fluor,concentration,fold_dilution,media,name,replicate,plate,date,blanked_rtdp_fluor,u_blanked_rtdp_fluor
134,134,149.35,C10,4,0.125,8,MM noC,PA14 dside,2,1,12/3/21,2.986111111111111,0.11785113019775789
135,135,224.037,C10,5,0.125,8,MM noC,PA14 dside,2,1,12/3/21,3.986111111111111,0.11785113019775789
137,137,74.668,C11,3,0.0625,16,MM noC,PA14 dside,2,1,12/3/21,1.9861111111111112,0.11785113019775789
138,138,149.35,C11,3,0.0625,16,MM noC,PA14 dside,2,1,12/3/21,1.9861111111111112,0.11785113019775789
139,139,224.037,C11,3,0.0625,16,MM noC,PA14 dside,2,1,12/3/21,1.9861111111111112,0.11785113019775789
141,141,74.668,C12,2,0.03125,32,MM noC,PA14 dside,2,1,12/3/21,0.9861111111111112,0.11785113019775789
142,142,149.35,C12,2,0.03125,32,MM noC,PA14 dside,2,1,12/3/21,0.9861111111111112,0.11785113019775789
143,143,224.037,C12,2,0.03125,32,MM noC,PA14 dside,2,1,12/3/21,0.9861111111111112,0.11785113019775789
145,145,74.668,D1,71,1.0,1,MM noC,PA14 WT,2,1,12/3/21,69.98611111111111,0.11785113019775789
146,146,149.35,D1,71,1.0,1,MM noC,PA14 WT,2,1,12/3/21,69.98611111111111,0.11785113019775789
147,147,224.037,D1,71,1.0,1,MM noC,PA14 WT,2,1,12/3/21,69.98611111111111,0.11785113019775789
149,149,74.668,D2,38,0.5,2,MM noC,PA14 WT,2,1,12/3/21,36.986111111111114,0.11785113019775789
150,150,149.35,D2,38,0.5,2,MM noC,PA14 WT,2,1,12/3/21,36.986111111111114,0.11785113019775789
151,151,224.037,D2,38,0.5,2,MM noC,PA14 WT,2,1,12/3/21,36.986111111111114,0.11785113019775789
153,153,74.668,D3,23,0.25,4,MM noC,PA14 WT,2,1,12/3/21,21.98611111111111,0.11785113019775789
154,154,149.35,D3,23,0.25,4,MM noC,PA14 WT,2,1,12/3/21,21.98611111111111,0.11785113019775789
155,155,224.037,D3,23,0.25,4,MM noC,PA14 WT,2,1,12/3/21,21.98611111111111,0.11785113019775789
157,157,74.668,D4,11,0.125,8,MM noC,PA14 WT,2,1,12/3/21,9.98611111111111,0.11785113019775789
