name,well,plate,date,pt_fluor,concentration,fold_dilution,replicate,blanked_pt_fluor,u_blanked_pt_fluor
CS,C4,2,5/27/22,579.75,0.125,8.0,2.0,497.84375,26.379899650768994
CS,D1,2,5/27/22,3882.0,1.0,1.0,2.0,3800.09375,80.80211902492398
CS,D2,2,5/27/22,2006.5,0.5,2.0,2.0,1924.59375,36.52372432978291
CS,D3,2,5/27/22,1191.25,0.25,4.0,2.0,1109.34375,30.548853315926213
CS,D4,2,5/27/22,611.75,0.125,8.0,2.0,529.84375,26.93013997212
EC WT,E1,1,5/27/22,2045.0,1.0,1.0,1.0,1963.09375,27.24547250923186
EC WT,E2,1,5/27/22,1207.75,0.5,2.0,1.0,1125.84375,31.61063806565719
EC WT,E3,1,5/27/22,628.25,0.25,4.0,1.0,546.34375,26.618898779838897
EC WT,E4,1,5/27/22,403.0,0.125,8.0,1.0,321.09375,26.576601969614337
EC WT,F1,1,5/27/22,2150.0,1.0,1.0,1.0,2068.09375,30.149335629794155
EC WT,F2,1,5/27/22,1132.75,0.5,2.0,1.0,1050.84375,33.929816370236615
EC WT,F3,1,5/27/22,783.25,0.25,4.0,1.0,701.34375,28.992512348040982
EC WT,F4,1,5/27/22,380.5,0.125,8.0,1.0,298.59375,26.34354643775161
EC WT,G1,1,5/27/22,2021.0,1.0,1.0,2.0,1939.09375,32.212561301216674
EC WT,G2,1,5/27/22,1214.0,0.5,2.0,2.0,1132.09375,30.082926036507406
EC WT,G3,1,5/27/22,639.5,0.25,4.0,2.0,557.59375,26.795194325064625
EC WT,G4,1,5/27/22,423.75,0.125,8.0,2.0,341.84375,26.27861815718834
EC WT,H1,1,5/27/22,2104.25,1.0,1.0,2.0,2022.34375,36.22014778524022
EC WT,H2,1,5/27/22,1090.25,0.5,2.0,2.0,1008.34375,31.642257171668007
EC WT,H3,1,5/27/22,753.25,0.25,4.0,2.0,671.34375,26.31664439573003
EC WT,H4,1,5/27/22,384.75,0.125,8.0,2.0,302.84375,27.662834976154834
MM4,E1,2,5/27/22,77.75,1.0,1.0,1.0,-4.15625,26.329307604226425
MM4,E2,2,5/27/22,78.5,0.5,2.0,1.0,-3.40625,26.330890077080735
MM4,E3,2,5/27/22,74.75,0.25,4.0,1.0,-7.15625,26.21511851809897
MM4,E4,2,5/27/22,80.5,0.125,8.0,1.0,-1.40625,26.191266462658415
MM4,F1,2,5/27/22,81.25,1.0,1.0,1.0,-0.65625,26.1896755532527
MM4,F2,2,5/27/22,110.5,0.5,2.0,1.0,28.59375,28.670236115490493
MM4,F3,2,5/27/22,82.0,0.25,4.0,1.0,0.09375,26.526385083245742
MM4,F4,2,5/27/22,74.75,0.125,8.0,1.0,-7.15625,26.1896755532527
MM4,G1,2,5/27/22,70.25,1.0,1.0,2.0,-11.65625,26.1896755532527
MM4,G2,2,5/27/22,76.75,0.5,2.0,2.0,-5.15625,26.21511851809897
MM4,G3,2,5/27/22,80.25,0.25,4.0,2.0,-1.65625,26.36726073975026
MM4,G4,2,5/27/22,71.75,0.125,8.0,2.0,-10.15625,26.202400123868593
MM4,H1,2,5/27/22,78.25,1.0,1.0,2.0,-3.65625,26.2912996810347
MM4,H2,2,5/27/22,82.0,0.5,2.0,2.0,0.09375,26.24847498271043
MM4,H3,2,5/27/22,81.25,0.25,4.0,2.0,-0.65625,26.21511851809897
MM4,H4,2,5/27/22,76.5,0.125,8.0,2.0,-5.40625,26.2167078835484
PA14 WT,A1,1,5/27/22,4151.25,1.0,1.0,1.0,4069.34375,34.08664116020585
PA14 WT,A2,1,5/27/22,1859.5,0.5,2.0,1.0,1777.59375,33.69444720204369
PA14 WT,A3,1,5/27/22,1159.0,0.25,4.0,1.0,1077.09375,27.934132745644877
PA14 WT,A4,1,5/27/22,756.5,0.125,8.0,1.0,674.59375,27.385807253356173
PA14 WT,B1,1,5/27/22,4338.75,1.0,1.0,1.0,4256.84375,33.23500823305613
PA14 WT,B2,1,5/27/22,2067.75,0.5,2.0,1.0,1985.84375,31.736925479919673
PA14 WT,B3,1,5/27/22,1328.75,0.25,4.0,1.0,1246.84375,28.081413287997254
PA14 WT,B4,1,5/27/22,770.0,0.125,8.0,1.0,688.09375,26.70173100976743
PA14 WT,C1,1,5/27/22,3892.5,1.0,1.0,2.0,3810.59375,34.370274544310945
PA14 WT,C2,1,5/27/22,2179.0,0.5,2.0,2.0,2097.09375,32.572725383639224
PA14 WT,C3,1,5/27/22,1268.25,0.25,4.0,2.0,1186.34375,27.698960971812202
PA14 WT,C4,1,5/27/22,821.25,0.125,8.0,2.0,739.34375,26.86818016882874
PA14 WT,D1,1,5/27/22,4057.5,1.0,1.0,2.0,3975.59375,28.331062556576324
PA14 WT,D2,1,5/27/22,2306.75,0.5,2.0,2.0,2224.84375,31.81036160726004
PA14 WT,D3,1,5/27/22,1396.75,0.25,4.0,2.0,1314.84375,27.962458861563704
PA14 WT,D4,1,5/27/22,841.25,0.125,8.0,2.0,759.34375,27.91473515758256
PO,E5,2,5/27/22,2177.0,1.0,1.0,1.0,2095.09375,28.088831213099187
PO,E6,2,5/27/22,1687.5,0.5,2.0,1.0,1605.59375,31.506334372386803
PO,E7,2,5/27/22,1242.5,0.25,4.0,1.0,1160.59375,35.411614463590546
PO,E8,2,5/27/22,663.75,0.125,8.0,1.0,581.84375,26.329307604226425
PO,F5,2,5/27/22,2344.75,1.0,1.0,1.0,2262.84375,29.072881503524467
PO,F6,2,5/27/22,1873.25,0.5,2.0,1.0,1791.34375,30.373767830997025
PO,F7,2,5/27/22,1252.25,0.25,4.0,1.0,1170.34375,34.21353200491449
PO,F8,2,5/27/22,652.0,0.125,8.0,1.0,570.09375,26.40042497608657
PO,G5,2,5/27/22,2212.75,1.0,1.0,2.0,2130.84375,27.63872474599077
PO,G6,2,5/27/22,1521.75,0.5,2.0,2.0,1439.84375,30.7120894586802
PO,G7,2,5/27/22,1151.0,0.25,4.0,2.0,1069.09375,34.462285263526
PO,G8,2,5/27/22,669.75,0.125,8.0,2.0,587.84375,28.19986593794332
PO,H5,2,5/27/22,2117.25,1.0,1.0,2.0,2035.34375,29.786447235579733
PO,H6,2,5/27/22,1783.25,0.5,2.0,2.0,1701.34375,174.30786683026668
PO,H7,2,5/27/22,1110.5,0.25,4.0,2.0,1028.59375,34.32174877418071
PO,H8,2,5/27/22,714.75,0.125,8.0,2.0,632.84375,26.329307604226425
PS,A5,1,5/27/22,901.75,1.0,1.0,1.0,819.84375,26.379899650768994
PS,A6,1,5/27/22,659.25,0.5,2.0,1.0,577.34375,26.48079377431831
PS,A7,1,5/27/22,330.25,0.25,4.0,1.0,248.34375,27.493619361310763
PS,A8,1,5/27/22,246.0,0.125,8.0,1.0,164.09375,26.813847894660242
PS,B5,1,5/27/22,819.0,1.0,1.0,1.0,737.09375,26.82627640177895
PS,B6,1,5/27/22,538.75,0.5,2.0,1.0,456.84375,26.843356203189437
PS,B7,1,5/27/22,380.25,0.25,4.0,1.0,298.34375,26.991957547597558
PS,B8,1,5/27/22,266.75,0.125,8.0,1.0,184.84375,26.56876183762883
PS,C5,1,5/27/22,862.75,1.0,1.0,2.0,780.84375,26.21511851809897
PS,C6,1,5/27/22,612.0,0.5,2.0,2.0,530.09375,29.274262397505005
PS,C7,1,5/27/22,419.25,0.25,4.0,2.0,337.34375,26.693927628794317
PS,C8,1,5/27/22,267.0,0.125,8.0,2.0,185.09375,26.70173100976743
PS,D5,1,5/27/22,849.0,1.0,1.0,2.0,767.09375,27.024355168094367
PS,D6,1,5/27/22,596.75,0.5,2.0,2.0,514.84375,32.04006510997299
PS,D7,1,5/27/22,430.75,0.25,4.0,2.0,348.84375,26.27861815718834
PS,D8,1,5/27/22,291.5,0.125,8.0,2.0,209.59375,26.93168714082556
