name,well,plate,date,pt_fluor,concentration,fold_dilution,replicate,blanked_pt_fluor,expected_blanked_pt_fluor,estimated_true_pt_fluor,F0_F_ratio,F_F0_ratio,u_blanked_pt_fluor,u_expected_blanked_pt_fluor,u_estimated_true_pt_fluor,u_F0_F_ratio,u_F_F0_ratio
EC WT,A1,2,1/11/22,7351.25,0.900900901,1.0,1.0,7294.375,7735.74070945946,5389.082207207207,1.0818999771184024,0.9242998624174669,71.2469574604307,322.1469661887934,126.64561984827466,0.06349808154589821,0.05424833097137933
EC WT,A2,2,1/11/22,6515.5,0.45045045,2.0,1.0,6458.625,6781.686655405406,5507.386261261261,1.0586597053629248,0.9445905940636369,37.641452514062486,313.8132778190876,33.3324109351702,0.057295171085877915,0.051121696064207724
EC WT,A3,2,1/11/22,6183.75,0.225225225,4.0,1.0,6126.875,6315.695664414415,5641.627252252252,1.0334691846823154,0.9676147240978415,146.84275812594603,313.6926673412368,143.8192796401798,0.06150890736504421,0.05758945241108687
EC WT,A4,2,1/11/22,6471.25,0.112612613,8.0,1.0,6414.375,6112.092060810811,6132.730855855856,0.9507098964076414,1.051845577477006,238.04788512825542,313.6616179982212,230.89532347357482,0.06241389752454988,0.06905343294770101
EC WT,A5,2,1/11/22,6255.75,0.056306306,16.0,1.0,6198.875,5975.83079954955,6053.492117117117,0.9631544576031146,1.03825507124639,331.53400370706345,313.5838733482074,331.2289784597961,0.07389564833713094,0.07965755754273943
EC WT,A6,2,1/11/22,6161.25,0.028153153,32.0,1.0,6104.375,5906.01097972973,6028.811936936937,0.9670973282389278,1.034022089401268,364.9714083971076,313.5812851226905,364.2711069424532,0.07822842163515256,0.08364195994320793
EC WT,B1,2,1/11/22,7523.5,0.900900901,1.0,1.0,7466.625,7656.686655405406,5640.386261261261,1.0336965673274485,0.967401877502052,129.6336335499721,313.7750194623154,132.8356480468923,0.06068984201416554,0.056797583512926936
EC WT,B2,2,1/11/22,6502.5,0.45045045,2.0,1.0,6445.625,6767.497466216217,5508.57545045045,1.058431162305292,0.944794555955791,99.5634418216267,313.8396787537207,95.45159836701131,0.05980509946489671,0.053384229797016534
EC WT,B3,2,1/11/22,6260.0,0.225225225,4.0,1.0,6203.125,6327.632601351352,5705.940315315315,1.0218206981620823,0.978645276807046,171.55138864890736,313.89258169762286,162.47693391037106,0.062182002695648414,0.05955460028354856
EC WT,B4,2,1/11/22,6563.5,0.112612613,8.0,1.0,6506.625,6130.785754504504,6206.2871621621625,0.9394421760264539,1.0644614703479536,243.03267053498894,313.6019903287127,245.41329593671688,0.06271098656304896,0.07105645314565283
EC WT,B5,2,1/11/22,6060.75,0.056306306,16.0,1.0,6003.875,5975.155123873874,5859.167792792792,0.9950983011339165,1.0049258438693927,271.1299730400566,313.591745736183,272.1187692761622,0.07071061630792162,0.07140895093760202
EC WT,B6,2,1/11/22,6653.25,0.028153153,32.0,1.0,6596.375,5913.218186936938,6513.604729729729,0.8951184725801732,1.1171705541027508,294.5405387164362,313.5830106087421,295.32201422666543,0.0629647247849469,0.07858438701880993
EC WT,C1,2,1/11/22,7408.25,0.900900901,1.0,2.0,7351.375,7572.902871621622,5608.920045045045,1.0394956372782174,0.9620049994806794,120.92199530014554,314.093014817513,132.31047711522965,0.06104637386351273,0.05649558762039121
EC WT,C2,2,1/11/22,6872.25,0.45045045,2.0,2.0,6815.375,6808.038006756757,5837.78490990991,0.9987431888367815,1.0012583927252434,110.15502234291644,313.685336523516,107.79790816817837,0.05679128474014243,0.05693430615125765
EC WT,C3,2,1/11/22,6043.25,0.225225225,4.0,2.0,5986.375,6315.920889639639,5500.902027027027,1.059907609337617,0.9434784609433498,194.5922119391431,313.61406773427797,191.0600125160939,0.06785678484723477,0.060402826027678866
EC WT,C4,2,1/11/22,6401.25,0.112612613,8.0,2.0,6344.375,6117.722691441442,6057.100225225226,0.9625807234269216,1.038873910169176,192.67622828820475,313.62873253006825,188.8624490684285,0.05983977742544231,0.06458261841801992
EC WT,C5,2,1/11/22,6050.0,0.056306306,16.0,2.0,5993.125,5974.479448198199,5849.093468468469,0.9968122322027649,1.0031979621580192,280.74403338397383,313.6045783833465,282.01115412226375,0.07199879241278906,0.07246002756881888
EC WT,C6,2,1/11/22,6252.25,0.028153153,32.0,2.0,6195.375,5908.488457207208,6117.334459459459,0.9531026879935968,1.0492048890399501,375.5087157630766,313.5960592896181,373.8423126737112,0.07758904404332467,0.08541241712114361
EC WT,D1,2,1/11/22,7440.5,0.900900901,1.0,2.0,7383.625,7645.425394144145,5568.647522522522,1.0470132816065816,0.9550977218412716,120.3919111929941,315.94075246355527,146.0529766456857,0.06264858557312171,0.05714877013370102
EC WT,D2,2,1/11/22,6517.25,0.45045045,2.0,2.0,6460.375,6772.677646396397,5518.14527027027,1.0565955825916669,0.946435908379584,124.9111508794756,313.80724300787693,125.4454945681829,0.06169285529950617,0.05526081549830138
EC WT,D3,2,1/11/22,6218.0,0.225225225,4.0,2.0,6161.125,6333.7136824324325,5657.8592342342345,1.0305042376077764,0.9703987266674524,155.68090960048727,313.7504454376834,146.96834138892305,0.06154747710524459,0.05795763979697082
EC WT,D4,2,1/11/22,6462.75,0.112612613,8.0,2.0,6405.875,6131.01097972973,6105.311936936937,0.9549795287924027,1.0471428652135895,225.03657987247698,313.59260845161674,224.14108444025987,0.06218523818672898,0.06818662235742674
EC WT,D5,2,1/11/22,5843.25,0.056306306,16.0,2.0,5786.375,5968.398367117117,5648.42454954955,1.0322255109403264,0.9687805517314042,263.27070152354935,313.5956279369446,261.9429757079509,0.07330248965554054,0.06879700764912162
EC WT,D6,2,1/11/22,6551.75,0.028153153,32.0,2.0,6494.875,5915.695664414415,6409.627252252252,0.9096391548538069,1.0993370224489902,308.2252351999023,313.5874321234128,309.74611849545636,0.06576958301042045,0.07948529608535544
O2NS,E10,2,1/11/22,5886.5,1.0,1.0,1.0,5829.625,5829.209177927928,5830.863738738739,0.9999286860247978,1.000071319061248,343.3708572579145,313.5805302195574,343.7739383831549,0.07979655603056211,0.07980793846737383
O2NS,E11,2,1/11/22,5869.75,1.0,1.0,1.0,5812.875,5828.083051801803,5815.239864864865,1.0026152062778506,0.9973916151864887,359.0247841222597,313.58042237610425,358.57265891993416,0.08203363572295302,0.08160624327361518
O2NS,E12,2,1/11/22,5850.25,1.0,1.0,1.0,5793.375,5827.182150900901,5796.6407657657655,1.0058321970028852,0.9942016202898817,344.3459437068607,313.5838733482074,343.38872047389293,0.0804771740954603,0.07954660540840496
O2NS,E7,2,1/11/22,5780.25,1.0,1.0,1.0,5723.375,5827.182150900901,5726.6407657657655,1.0181270582784705,0.9821956816380844,318.7833051055765,313.5812851226905,319.59918265114237,0.07891017756423005,0.07612530775081566
O2NS,E8,2,1/11/22,6087.75,1.0,1.0,1.0,6030.875,5829.659628378378,6031.663288288289,0.9666401518114709,1.034511134392683,349.6542991976051,313.5826870808306,349.33587827183317,0.07639989778834429,0.08176418575246602
O2NS,E9,2,1/11/22,5865.75,1.0,1.0,1.0,5808.875,5828.533502252252,5810.789414414414,1.0033831035424357,0.9966283032567604,318.5542271168837,313.5838733482074,317.2884073974611,0.07690078055891542,0.07638308257032651
O2NS,F10,2,1/11/22,5897.25,1.0,1.0,1.0,5840.375,5831.686655405406,5839.136261261261,0.9985120496926514,1.001490167602691,283.8851803353516,313.5821478669031,284.24789061237567,0.07243251564058481,0.0726485496605697
O2NS,F11,2,1/11/22,5661.25,1.0,1.0,1.0,5604.375,5831.236204954956,5603.586711711712,1.0404849994523697,0.9610902612976854,282.8287979456272,313.5838733482074,281.3494927530902,0.07655397467790348,0.07071248462523434
O2NS,F12,2,1/11/22,5977.5,1.0,1.0,1.0,5920.625,5829.884853603604,5921.188063063063,0.9846753480163142,1.0155631518698607,242.67855065367513,313.58042237610425,242.79923412415778,0.06659360612924317,0.06868254869103697
O2NS,F7,2,1/11/22,5688.0,1.0,1.0,1.0,5631.125,5826.056024774775,5635.516891891892,1.034589733029677,0.9665667153603149,273.4274046507319,313.58441255916796,273.12544944461075,0.07490068271410834,0.06997605384814326
O2NS,F8,2,1/11/22,6166.75,1.0,1.0,1.0,6109.875,5830.335304054054,6109.987612612613,0.9542487295115128,1.0479448062895589,274.191166185264,313.5864615523621,273.88061221400295,0.06680887886989806,0.07336873024874511
O2NS,F9,2,1/11/22,5930.75,1.0,1.0,1.0,5873.875,5832.362331081082,5871.960585585585,0.9929303563411472,1.0071199793758987,264.90148284604794,313.5826870808306,264.0583251692635,0.06960887568766175,0.0706036319659575
O2NS,G10,2,1/11/22,6016.25,1.0,1.0,1.0,5959.375,5832.587556306306,5957.235360360361,0.9787170665545059,1.0217457467257816,260.0861311451172,313.5821478669031,260.4727596367422,0.0678369090022918,0.07081931603392089
O2NS,G11,2,1/11/22,5764.75,1.0,1.0,1.0,5707.875,5830.785754504504,5707.537162162162,1.0215348145815566,0.9789191574538968,237.87979236167808,313.5838733482074,237.1773695781042,0.06942848075155857,0.06653211316000009
O2NS,G12,2,1/11/22,5935.25,1.0,1.0,1.0,5878.375,5829.434403153154,5879.388513513513,0.9916759035851503,1.008393968618937,250.23481428590568,313.5838733482074,249.70189941993323,0.06795808479129466,0.06910374909250946
O2NS,G7,2,1/11/22,5572.0,1.0,1.0,1.0,5515.125,5826.731700450451,5518.841216216217,1.0564623420465231,0.9465552724414698,302.89472144740625,313.5855988200174,301.68220534106575,0.08101457266649843,0.07258637421331741
O2NS,G8,2,1/11/22,6046.5,1.0,1.0,1.0,5989.625,5831.461430180181,5988.611486486487,0.9735892752140088,1.0271271730886575,282.14927304655896,313.5852752947763,281.3468165715082,0.06952508155324588,0.07334828175756829
O2NS,G9,2,1/11/22,5842.5,1.0,1.0,1.0,5785.625,5832.137105855856,5783.935810810811,1.0080416013208375,0.9920225501504097,339.7492393134018,313.5821478669031,338.86628345459496,0.08016871824883172,0.07889473630382773
O2NS,H10,2,1/11/22,5779.75,1.0,1.0,1.0,5722.875,5834.614583333334,5718.708333333333,1.0195393044758068,0.9808351631074655,338.4722474305712,313.5874321234128,338.208524835418,0.08149952930232558,0.07840561297195683
O2NS,H11,2,1/11/22,5674.75,1.0,1.0,1.0,5617.875,5835.965934684685,5612.356981981982,1.0388590632037213,0.9625944802523217,241.08531466551082,313.586138028011,239.40412023825854,0.07131131638211541,0.06607621953767381
O2NS,H12,2,1/11/22,5766.0,1.0,1.0,1.0,5709.125,5833.7136824324325,5705.8592342342345,1.0218352183812949,0.9786313703143993,261.33225138515735,313.58225570976276,260.3570934081164,0.07206997749278099,0.06902281264489567
O2NS,H7,2,1/11/22,5419.25,1.0,1.0,1.0,5362.375,5828.3082770270275,5364.514639639639,1.0868546939147372,0.9200861951454654,372.8906840894549,313.5813929658469,372.4285925353102,0.09544634578939004,0.08080092548672162
O2NS,H8,2,1/11/22,5726.25,1.0,1.0,1.0,5669.375,5830.785754504504,5669.037162162162,1.0284723401677163,0.9723158911954083,366.1458665805681,313.5864615523621,366.10207304091404,0.0864337432481693,0.08171430461804546
O2NS,H9,2,1/11/22,5725.75,1.0,1.0,1.0,5668.875,5832.812781531532,5666.510135135135,1.0289309959078758,0.9718824721745809,343.167785416068,313.58829485071374,342.5851607965771,0.08325794332635783,0.07864175159461967
PA14 WT,A1,1,1/11/22,6652.75,0.900900901,1.0,1.0,6595.875,9162.317286036036,3264.0056306306305,1.7862861086854744,0.5598207337210379,207.20230600559216,314.5452156914776,182.83866865996677,0.1387136127430648,0.043472742739999515
PA14 WT,A2,1,1/11/22,6172.75,0.45045045,2.0,1.0,6115.875,7847.452421171171,4098.870495495496,1.4224523373144162,0.7030112530083051,119.1167310415925,316.11528290001405,89.11747242641358,0.08251582895866919,0.040781370867423804
PA14 WT,A3,1,1/11/22,5511.0,0.225225225,4.0,1.0,5454.125,6861.866835585586,4422.706081081082,1.3182987541513222,0.7585533983484399,113.36024706234143,316.9255708534201,71.57146865433675,0.07403954389524073,0.04260259478896285
PA14 WT,A4,1,1/11/22,5557.0,0.112612613,8.0,1.0,5500.125,6448.5785472972975,4881.994369369369,1.1942758380157275,0.8373274985295573,177.5008327136386,314.12402151945065,161.9746393277357,0.07546815309996562,0.05291203074059654
PA14 WT,A5,1,1/11/22,5338.75,0.056306306,16.0,1.0,5281.875,6153.533502252252,4958.789414414415,1.1757805039509197,0.850498878523455,190.09505240107745,313.79441864869915,179.21876118076227,0.0761867090207598,0.055109529680765816
